created_at,entry_id,field1,field2,field3,field4,field5
2025-11-21 15:11:51 UTC,1,27.60,45.00,101105,4095,
2025-11-21 15:12:22 UTC,2,27.70,45.00,101099,2464,
2025-11-21 15:12:53 UTC,3,27.70,46.00,101101,2490,
2025-11-21 15:13:25 UTC,4,27.70,45.00,101111,2615,
2025-11-21 15:13:56 UTC,5,27.70,45.00,101112,2764,
2025-11-21 15:47:17 UTC,6,27.10,47.00,101104,4095,
2025-11-21 15:47:48 UTC,7,27.20,47.00,101102,4095,
2025-11-21 15:48:19 UTC,8,27.20,47.00,101104,4095,
2025-11-21 15:48:50 UTC,9,27.20,47.00,101105,4095,
2025-11-21 15:49:21 UTC,10,27.30,47.00,101101,4095,
2025-11-21 15:49:52 UTC,11,27.40,47.00,101103,4095,
2025-11-21 15:50:23 UTC,12,27.50,46.00,101102,4095,
2025-11-21 15:50:54 UTC,13,27.50,46.00,101107,4095,
2025-11-21 15:51:26 UTC,14,27.60,46.00,101104,4095,
2025-11-21 15:51:57 UTC,15,27.60,46.00,101095,1613,
2025-11-21 15:52:28 UTC,16,27.60,46.00,101103,1911,
2025-11-21 15:52:59 UTC,17,27.70,46.00,101102,1904,
2025-11-21 15:53:30 UTC,18,27.70,46.00,101107,1877,
2025-11-21 15:54:01 UTC,19,27.70,46.00,101104,1872,
2025-11-21 15:54:32 UTC,20,27.80,46.00,101101,1881,
2025-11-21 15:55:03 UTC,21,27.80,46.00,101105,4095,
2025-11-21 15:55:34 UTC,22,27.80,46.00,101102,4095,
2025-11-21 15:56:05 UTC,23,27.80,46.00,101096,4095,
2025-11-21 15:56:36 UTC,24,27.80,46.00,101104,4095,
2025-11-21 15:57:07 UTC,25,27.80,46.00,101103,4095,
2025-11-21 15:57:38 UTC,26,27.80,46.00,101103,4095,
2025-11-21 15:58:09 UTC,27,27.80,46.00,101107,4095,
2025-11-22 16:37:42 UTC,28,,,,,0
2025-11-22 16:38:15 UTC,29,,,,,0
2025-11-22 16:38:52 UTC,30,,,,,0
2025-11-22 16:54:09 UTC,31,,,,,0
2025-11-22 17:17:44 UTC,32,27.00,50.00,100982,4095,
2025-11-22 17:18:15 UTC,33,27.10,50.00,100981,2490,
2025-11-22 17:18:46 UTC,34,27.20,50.00,100980,2431,
2025-11-22 17:19:17 UTC,35,27.30,50.00,100989,2345,
2025-11-22 17:19:49 UTC,36,27.40,50.00,100978,2011,
2025-11-22 17:20:20 UTC,37,27.50,50.00,100980,1975,
2025-11-22 17:20:51 UTC,38,27.50,49.00,100985,1962,
2025-11-22 17:21:22 UTC,39,27.60,49.00,100976,1942,
2025-11-22 17:21:53 UTC,40,27.60,50.00,100980,1922,
2025-11-22 17:22:24 UTC,41,27.60,50.00,100982,1904,
2025-11-22 17:22:55 UTC,42,27.60,50.00,100977,1893,
2025-11-22 17:23:27 UTC,43,27.70,50.00,100986,1894,
2025-11-22 17:23:58 UTC,44,27.70,50.00,100984,1890,
2025-11-22 17:24:29 UTC,45,27.70,50.00,100978,1879,
2025-11-22 17:25:00 UTC,46,27.80,50.00,100982,1905,
2025-11-22 17:25:31 UTC,47,27.80,50.00,100977,1915,
2025-11-22 17:26:02 UTC,48,27.90,52.00,100978,1929,
2025-11-22 17:26:33 UTC,49,27.90,52.00,100974,1936,
2025-11-22 17:27:04 UTC,50,28.00,51.00,100972,1947,
2025-11-22 17:27:35 UTC,51,28.00,51.00,100972,1951,
2025-11-22 17:28:06 UTC,52,28.00,50.00,100979,1959,
2025-11-22 17:28:37 UTC,53,28.00,50.00,100972,1967,
2025-11-22 17:29:09 UTC,54,28.00,50.00,100975,1963,
2025-11-22 17:29:40 UTC,55,28.00,51.00,100979,1959,
2025-11-22 17:30:11 UTC,56,28.00,51.00,100972,2330,
2025-11-22 17:30:42 UTC,57,28.00,50.00,100970,4095,
2025-11-22 17:31:13 UTC,58,28.00,50.00,100974,4095,
2025-11-22 17:40:41 UTC,59,27.10,51.00,100957,4095,
2025-11-22 17:41:12 UTC,60,27.10,51.00,100959,4095,
2025-11-22 17:41:43 UTC,61,27.20,51.00,100959,4095,
2025-11-22 17:42:14 UTC,62,27.30,51.00,100962,4095,
2025-11-22 17:42:45 UTC,63,27.30,51.00,100962,4095,
2025-11-22 17:43:16 UTC,64,27.30,51.00,100965,4095,
2025-11-22 17:43:47 UTC,65,27.40,51.00,100958,4095,
2025-11-22 17:44:19 UTC,66,27.40,51.00,100958,4095,
2025-11-22 17:44:50 UTC,67,27.50,51.00,100956,4095,
2025-11-22 17:45:21 UTC,68,27.50,51.00,100960,4095,
2025-11-22 17:45:52 UTC,69,27.50,51.00,100960,4095,
2025-11-22 17:46:23 UTC,70,27.60,50.00,100953,4095,
2025-11-22 17:46:54 UTC,71,27.70,51.00,100954,4095,
2025-11-22 17:47:25 UTC,72,27.70,50.00,100955,4095,
2025-11-22 17:47:56 UTC,73,27.70,50.00,100951,4095,
2025-11-22 17:48:28 UTC,74,27.70,50.00,100957,4095,
2025-11-22 17:48:59 UTC,75,27.60,50.00,100954,4095,
2025-11-22 17:49:30 UTC,76,27.60,50.00,100955,4095,
2025-11-22 17:50:01 UTC,77,27.60,50.00,100955,4095,
2025-11-22 17:50:34 UTC,78,27.60,50.00,100953,4095,
